instance_id,isbn,hit_ndl_search,locate_now,locate_init,count_lent,own_category_id
191011_103403,9784047101951,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_103416,9784166610112,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_103429,9784591146620,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191011_103453,9784062722230,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191011_103508,9784582857580,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_103528,9784061496354,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191011_103553,9784048677332,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191011_103607,9784569810010,TRUE,ATG-105G-5F,HQ-7F-W07,0,7
191011_103617,9784413042680,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191011_103629,9784413041829,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191011_103639,9784839936662,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191011_103650,9784480062925,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191011_103707,9784396115074,TRUE,HQ-5F-CART,HQ-7F-W07,0,3
191011_114421,9784840811583,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191011_114510,9784798103648,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191011_114549,9784879666246,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191011_115230,9784872832891,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191011_115539,9784492502815,TRUE,HQ-7F-W07,HQ-7F-W07,0,0
191011_115646,9784774100906,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191011_115740,9784797334814,TRUE,HQ-7F-W07,HQ-7F-W07,0,0
191011_115827,9784062728249,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191011_120026,9784480687845,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_123224,9784480062239,TRUE,HQ-7F-W07,HQ-7F-W07,0,0
191011_123237,9784047100077,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191011_123250,9784047100343,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_123300,9784166604180,TRUE,ATG-105G-5F,HQ-7F-W07,0,3
191011_123309,9784847060205,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191011_123318,9784004308416,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191011_123332,9784121020123,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191011_123341,9784047100930,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191011_123400,9784760124923,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_123408,9784806140276,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
